dataset,condition,seed,auc,final,budget,N
pareto_20201218,llm_nopad,16,0.5635199492022679,0.6091588655870268,32,65
pareto_20201218,llm_nopad,17,0.3367210906070744,0.6091588655870268,32,65
pareto_20201218,llm_nopad,18,0.6316245825919473,1.0,32,65
pareto_20201218,llm_nopad,19,0.8546504949475376,1.0,32,65
pareto_20201218,llm_nopad,20,0.8521239029218183,1.0,32,65
pareto_20201218,llm_nopad,21,0.6056817397752273,1.0,32,65
pareto_20201218,llm_nopad,22,1.0,1.0,32,65
pareto_20201218,llm_nopad,23,1.0,1.0,32,65
pareto_20201218,llm_nopad,24,0.5449480137900524,1.0,32,65
pareto_20201218,llm_nopad,25,0.7708862315510158,1.0,32,65
pareto_20201218,llm_nopad,26,0.6052342266545374,0.6052342266545373,32,65
pareto_20201218,llm_nopad,27,0.8916542889976317,1.0,32,65
pareto_20201218,llm_nopad,28,1.0,1.0,32,65
pareto_20201218,llm_nopad,29,0.7536199707175852,1.0,32,65
pareto_20201218,random,1,0.3048492804445945,0.39918433915611845,32,65
pareto_20201218,random,4,0.9319369356300926,1.0,32,65
pareto_20201218,random,0,0.5643046784484568,1.0,32,65
pareto_20201218,random,5,0.34090114794652104,0.6052342266545373,32,65
pareto_20201218,random,3,0.5549497969060644,1.0,32,65
pareto_20201218,random,2,1.0,1.0,32,65
pareto_20201218,random,7,0.7708862315510158,1.0,32,65
pareto_20201218,random,10,0.8566597252001645,1.0,32,65
pareto_20201218,random,6,0.4554037754566052,0.6052342266545373,32,65
pareto_20201218,random,8,0.6643920294058457,1.0,32,65
pareto_20201218,random,11,0.5063516471863148,0.6091588655870268,32,65
pareto_20201218,random,9,0.6580137854800683,1.0,32,65
pareto_20201218,random,14,0.4408167535585179,0.6091588655870268,32,65
pareto_20201218,random,12,0.8230360326382409,1.0,32,65
pareto_20201218,random,16,0.7994403999919238,1.0,32,65
pareto_20201218,random,13,0.719454867245826,1.0,32,65
pareto_20201218,random,17,0.5491012007943532,1.0,32,65
pareto_20201218,random,15,0.649971022575653,1.0,32,65
pareto_20201218,random,18,0.7219881351383001,1.0,32,65
pareto_20201218,random,20,0.5254211939462631,0.6052342266545373,32,65
pareto_20201218,random,22,1.0,1.0,32,65
pareto_20201218,random,21,0.4930139566908298,1.0,32,65
pareto_20201218,random,23,1.0,1.0,32,65
pareto_20201218,random,19,0.8546504949475376,1.0,32,65
pareto_20201218,random,24,0.6316245825919473,1.0,32,65
pareto_20201218,random,25,0.6091588655870268,0.6091588655870268,32,65
pareto_20201218,random,26,0.6052342266545374,0.6052342266545373,32,65
pareto_20201218,random,28,1.0,1.0,32,65
pareto_20201218,random,27,0.6638506998979161,1.0,32,65
pareto_20201218,random,29,0.5475510396632504,1.0,32,65
