dataset,condition,seed,auc,final,budget,N
hartmann6,llm_nopad,28,0.706485989515246,1.0,50,100
hartmann6,llm_nopad,29,0.8248354262035056,1.0,50,100
hartmann6,random,0,0.6469398268661054,0.8613005066045224,50,100
hartmann6,random,1,0.9083445932758466,1.0,50,100
hartmann6,random,4,0.4397736101708017,0.6605046370631522,50,100
hartmann6,random,5,0.4999501889517566,1.0,50,100
hartmann6,random,6,0.7527485580800407,1.0,50,100
hartmann6,random,7,0.6816060166634799,1.0,50,100
hartmann6,random,2,0.9464638819859188,1.0,50,100
hartmann6,random,3,0.8916360245499205,1.0,50,100
hartmann6,random,8,0.9070632079336106,1.0,50,100
hartmann6,random,9,0.8482020989972704,0.8613005066045224,50,100
hartmann6,random,12,0.6306076183605632,1.0,50,100
hartmann6,random,13,0.8161569629358884,1.0,50,100
hartmann6,random,10,0.658622270796404,0.8613005066045224,50,100
hartmann6,random,14,0.7528028160899414,1.0,50,100
hartmann6,random,11,0.8391468151747457,1.0,50,100
hartmann6,random,15,0.6768961366175498,0.8613005066045224,50,100
hartmann6,random,17,0.9179125447251255,1.0,50,100
hartmann6,random,19,1.0,1.0,50,100
hartmann6,random,20,0.4388549863032461,0.5277412980450483,50,100
hartmann6,random,21,0.41223896835073576,0.6605046370631522,50,100
hartmann6,random,16,0.659141289319784,0.6605046370631522,50,100
hartmann6,random,18,0.5481752471390771,0.8119295856233414,50,100
hartmann6,random,22,0.4829919831878795,0.6605046370631522,50,100
hartmann6,random,23,0.655575207048225,1.0,50,100
hartmann6,random,26,1.0,1.0,50,100
hartmann6,random,27,0.6252326600693914,1.0,50,100
hartmann6,random,25,0.6320189237948454,0.6605046370631522,50,100
hartmann6,random,24,0.6056616960708089,0.6605046370631522,50,100
hartmann6,random,28,0.7017842438081734,0.8613005066045224,50,100
hartmann6,random,29,0.6975882979350351,0.8119295856233414,50,100
hartmann3,egbo,0,0.9423422856008077,1.0,50,100
hartmann3,egbo,2,0.9055099220260724,1.0,50,100
hartmann3,egbo,1,0.9224853096323973,1.0,50,100
hartmann3,egbo,3,0.930889203191993,1.0,50,100
hartmann3,egbo,4,0.8520724079372678,1.0,50,100
hartmann3,egbo,5,0.8585897104891903,1.0,50,100
hartmann3,egbo,6,0.8728131645230556,1.0,50,100
hartmann3,egbo,7,0.9437818150149472,1.0,50,100
hartmann3,egbo,8,0.8274118111926719,1.0,50,100
hartmann3,egbo,11,0.8674284443625743,1.0,50,100
hartmann3,egbo,10,0.9385390316876353,1.0,50,100
hartmann3,egbo,9,0.9218645836773692,1.0,50,100
hartmann3,egbo,13,0.983903588736763,1.0,50,100
hartmann3,egbo,12,0.9363627313013598,1.0,50,100
hartmann3,egbo,15,0.8943020362316623,1.0,50,100
hartmann3,egbo,14,0.9139334990989559,1.0,50,100
hartmann3,egbo,16,1.0,1.0,50,100
hartmann3,egbo,17,0.8485417477943821,1.0,50,100
hartmann3,egbo,19,0.958611123030226,1.0,50,100
hartmann3,egbo,18,1.0,1.0,50,100
hartmann3,egbo,20,0.8618784090799021,1.0,50,100
hartmann3,egbo,21,0.9179551467935018,1.0,50,100
hartmann3,egbo,22,0.8963796089207102,1.0,50,100
hartmann3,egbo,23,0.9443117173027914,1.0,50,100
hartmann3,egbo,24,0.864551073243015,1.0,50,100
hartmann3,egbo,25,0.8493973497732961,1.0,50,100
hartmann3,egbo,27,0.892668009149806,1.0,50,100
hartmann3,egbo,26,0.8642365844355496,1.0,50,100
hartmann3,egbo,28,0.9876909796222306,1.0,50,100
hartmann3,egbo,29,0.9678492658374326,1.0,50,100
hartmann3,llm_nopad,0,0.9645975269025725,1.0,50,100
hartmann3,llm_nopad,1,0.931896943840392,1.0,50,100
hartmann3,llm_nopad,2,0.8973009177623799,1.0,50,100
hartmann3,llm_nopad,3,0.9558981132334244,1.0,50,100
hartmann3,llm_nopad,4,0.8851634617546931,1.0,50,100
hartmann3,llm_nopad,5,0.9470681159133298,1.0,50,100
hartmann3,llm_nopad,6,0.9191454209991592,1.0,50,100
hartmann3,llm_nopad,7,0.9539784116261448,1.0,50,100
hartmann3,llm_nopad,8,0.9374181017998983,1.0,50,100
hartmann3,llm_nopad,9,0.9661605259135206,1.0,50,100
hartmann3,llm_nopad,10,0.9301443082857269,1.0,50,100
hartmann3,llm_nopad,11,0.948434640042069,1.0,50,100
hartmann3,llm_nopad,12,0.9545085368604787,1.0,50,100
hartmann3,llm_nopad,13,0.983903588736763,1.0,50,100
hartmann3,llm_nopad,14,0.8887421176712265,1.0,50,100
hartmann3,llm_nopad,15,0.93984260571,1.0,50,100
hartmann3,llm_nopad,16,1.0,1.0,50,100
hartmann3,llm_nopad,17,0.8509441223499181,1.0,50,100
hartmann3,llm_nopad,18,1.0,1.0,50,100
hartmann3,llm_nopad,19,0.958611123030226,1.0,50,100
hartmann3,llm_nopad,20,0.899397010790583,1.0,50,100
hartmann3,llm_nopad,21,0.9441212485775425,1.0,50,100
hartmann3,llm_nopad,22,0.9430708840037483,1.0,50,100
hartmann3,llm_nopad,23,0.9640686133611023,1.0,50,100
hartmann3,llm_nopad,24,0.9004328787215665,1.0,50,100
hartmann3,llm_nopad,25,0.9477204425845589,1.0,50,100
hartmann3,llm_nopad,26,0.8220465262510734,1.0,50,100
hartmann3,llm_nopad,27,0.9591121924277352,1.0,50,100
hartmann3,llm_nopad,28,0.9952657613931657,1.0,50,100
hartmann3,llm_nopad,29,0.9421286785073788,1.0,50,100
hartmann3,random,0,0.9123887929312992,0.9536044616530228,50,100
hartmann3,random,4,0.8962930236052845,1.0,50,100
hartmann3,random,5,0.8623771013746576,1.0,50,100
hartmann3,random,1,0.8762019682006315,1.0,50,100
hartmann3,random,2,0.9522220309275364,1.0,50,100
hartmann3,random,3,0.9015621010360015,1.0,50,100
hartmann3,random,6,0.7176852490960737,1.0,50,100
hartmann3,random,8,0.783384263492392,1.0,50,100
hartmann3,random,10,0.7856777945736156,0.9536044616530228,50,100
hartmann3,random,11,0.8301053977435373,0.9536044616530228,50,100
hartmann3,random,12,0.8145966207092802,0.9086202638308252,50,100
hartmann3,random,7,0.9484959747002029,1.0,50,100
hartmann3,random,13,0.991478370507698,1.0,50,100
hartmann3,random,9,0.8188509382230483,1.0,50,100
hartmann3,random,14,0.7343482910523833,0.9536044616530228,50,100
hartmann3,random,16,1.0,1.0,50,100
hartmann3,random,18,1.0,1.0,50,100
hartmann3,random,15,0.9020839083267352,1.0,50,100
hartmann3,random,19,0.7842730668852147,0.9536044616530228,50,100
hartmann3,random,17,0.8779789577271094,1.0,50,100
hartmann3,random,20,0.8365702907206999,1.0,50,100
hartmann3,random,21,0.8573867113826139,1.0,50,100
hartmann3,random,22,0.8529506274609575,0.9086202638308252,50,100
hartmann3,random,24,0.6556571183134813,0.7372137092898818,50,100
hartmann3,random,23,0.938376818793803,0.9536044616530228,50,100
hartmann3,random,25,0.783414131431499,0.8665599090943119,50,100
hartmann3,random,26,0.740153571690245,0.9086202638308252,50,100
hartmann3,random,27,0.8965636651718253,1.0,50,100
hartmann3,random,28,0.9536044616530228,0.9536044616530228,50,100
hartmann3,random,29,0.9346691082078544,1.0,50,100
