dataset,seed,ls_norm,egbo_auc,random_auc,egbo_advantage,init_best_norm,structured
hartmann3,15,0.36821155165670283,0.9398426057099999,0.6763625352168029,0.263480070493197,0.4104575359579996,True
hartmann3,16,0.44553211488416933,1.0,0.9999999999999999,1.1102230246251565e-16,1.0,True
hartmann3,17,0.3910214392763218,0.8483280159628486,0.6227167572193544,0.2256112587434942,0.11719608711340268,True
hartmann3,18,0.25391037530258026,1.0,0.9999999999999999,1.1102230246251565e-16,1.0,True
hartmann3,19,0.00033236586904220446,0.962283302444283,0.9135905075454863,0.04869279489879663,0.6674927946315542,True
hartmann6,0,0.11442695173497193,0.7274950070468994,0.7829753130239862,-0.05548030597708675,0.6051133527708046,True
hartmann6,1,0.0182126755980003,0.7960770756296542,0.8633373319621133,-0.06726025633245902,0.6565749876852086,True
hartmann6,2,0.00030060309448239406,0.7373515445035446,0.7385006277380575,-0.0011490832345129043,0.4753460434620039,True
hartmann6,3,0.00021684701827975208,0.9357414312828365,0.6967885150690117,0.23895291621382475,0.48122562128817803,True
hartmann6,4,0.0009478922583717954,0.7306377085263546,0.7712551459852515,-0.0406174374588969,0.10777015419263257,True
hartmann6,5,0.0002515582358301877,0.8675657063955742,0.595454341506773,0.27211136488880117,0.07995088424058891,True
hartmann6,6,0.028290880501081125,0.8193649492912305,0.6126621996426667,0.20670274964856383,0.12824218389169903,True
hartmann6,7,0.2819814226363815,0.6915571316533979,0.5517160995809477,0.13984103207245024,0.3582180283520165,True
hartmann6,8,0.2271669076004076,0.9070632079336105,0.6693589879953894,0.2377042199382211,0.08921943774938301,True
hartmann6,9,0.31177575713637035,0.8773706124386732,0.8119295856233414,0.06544102681533182,0.8119295856233414,True
hartmann6,10,0.2867167230316896,0.9406988324860475,0.5714650310546624,0.36923380143138507,0.41884855836326584,True
hartmann6,11,0.006159494965014833,0.7685117250268784,0.5170289986565059,0.2514827263703725,0.0893963570108011,True
hartmann6,12,0.002833473410113206,0.8516534465624332,0.732430601145012,0.11922284541742123,0.0893963570108011,True
hartmann6,13,0.00023039512954922713,0.8298951568520423,0.5718864416708477,0.2580087151811946,0.30705316798911725,True
hartmann6,14,0.16549192059912246,0.9518103365352091,0.6133604709654604,0.33844986556974865,0.5277412980450483,True
hartmann6,15,0.006728951849694315,0.6975882979350352,0.6605046370631522,0.03708366087188297,0.6605046370631522,True
hartmann6,16,0.28190022547294447,0.7707130596397551,0.6573609175607973,0.11335214207895783,0.6565749876852086,True
hartmann6,17,0.3214882034948094,0.9632021752216081,0.8807184356798893,0.08248373954171884,0.8613005066045224,True
hartmann6,18,0.0032804027116017775,0.8369447055710034,0.5442433151579021,0.2927013904131013,0.12304381533818813,True
hartmann6,19,0.0008425731057804291,1.0,1.0,0.0,1.0,True
