dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,ea_ratio,pool_size,acq
pareto_20210112,ea90_p160_rand,17,6.114679357715656,-1.6910003165941683,0.29067556891335994,0.5995727667313601,3.4328742170248834,0.5614152461964559,-1,0,0.0,0,structured,0.9,160.0,
pareto_20210112,ea90_p160_rand,18,6.114679357715656,-1.6910003165941683,0.19789332743827667,0.8206267744503076,6.114679357715656,0.9999999999998365,17,0,0.0,0,structured,0.9,160.0,
pareto_20210112,ea90_p160_rand,19,6.114679357715656,-1.6910003165941683,0.14877319700318745,0.5790804974914385,3.340375640781934,0.546287948290603,-1,0,0.0,0,structured,0.9,160.0,
pareto_20210112,egbo_default,0,6.114679357715656,-1.6910003165941683,0.19584878968100458,0.8110052700097596,6.114679357715656,0.9999999999998365,17,0,0.0,0,structured,,,
pareto_20210112,egbo_default,1,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.7896163429646013,6.114679357715656,0.9999999999998365,21,0,0.0,0,structured,,,
pareto_20210112,egbo_default,2,6.114679357715656,-1.6910003165941683,0.057067065648016786,0.7789348058005278,6.114679357715656,0.9999999999998365,17,0,0.0,0,structured,,,
pareto_20210112,egbo_default,3,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.9506359501334125,6.114679357715656,0.9999999999998365,5,0,0.0,0,structured,,,
pareto_20210112,egbo_default,4,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.7818320877816356,6.114679357715656,0.9999999999998365,25,0,0.0,0,structured,,,
pareto_20210112,egbo_default,5,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.8037632237471193,6.114679357715656,0.9999999999998365,25,0,0.0,0,structured,,,
pareto_20210112,egbo_default,6,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.809124810067186,6.114679357715656,0.9999999999998365,21,0,0.0,0,structured,,,
pareto_20210112,egbo_default,7,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.9330429775265426,6.114679357715656,0.9999999999998365,17,0,0.0,0,structured,,,
pareto_20210112,egbo_default,8,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.8969301983862787,6.114679357715656,0.9999999999998365,13,0,0.0,0,structured,,,
pareto_20210112,egbo_default,9,6.114679357715656,-1.6910003165941683,-0.023234323203362002,0.6122961046374615,3.8867505271241742,0.6356425741636214,-1,0,0.0,0,structured,,,
pareto_20210112,egbo_default,10,6.114679357715656,-1.6910003165941683,0.03158159366629744,0.6467488986271724,6.114679357715656,0.9999999999998365,29,0,0.0,0,structured,,,
pareto_20210112,egbo_default,11,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0,structured,,,
pareto_20210112,egbo_default,12,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0,structured,,,
pareto_20210112,egbo_default,13,6.114679357715656,-1.6910003165941683,0.25146153966618423,0.9185587207926945,6.114679357715656,0.9999999999998365,5,0,0.0,0,structured,,,
pareto_20210112,egbo_default,14,6.114679357715656,-1.6910003165941683,0.07304071307402091,0.8991464646096115,6.114679357715656,0.9999999999998365,5,0,0.0,0,structured,,,
pareto_20210112,egbo_default,15,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.7418133619807533,6.114679357715656,0.9999999999998365,29,0,0.0,0,structured,,,
pareto_20210112,egbo_default,16,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.8773826392485409,6.114679357715656,0.9999999999998365,21,0,0.0,0,structured,,,
pareto_20210112,egbo_default,17,6.114679357715656,-1.6910003165941683,0.29067556891335994,0.8067622588280278,6.114679357715656,0.9999999999998365,13,0,0.0,0,structured,,,
pareto_20210112,egbo_default,18,6.114679357715656,-1.6910003165941683,0.19789332743827667,0.8745559230921464,6.114679357715656,0.9999999999998365,9,0,0.0,0,structured,,,
pareto_20210112,egbo_default,19,6.114679357715656,-1.6910003165941683,0.14877319700318745,0.6316007658350071,5.007901563748517,0.8189965934074044,-1,0,0.0,0,structured,,,
pareto_20201218,ea20_p40_ucb2,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.6148475677297235,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,1,5.44426438452636,-1.9304201262287157,-0.14795900137072068,0.5666076156352571,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,2,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,3,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6243387737579363,3.295055144471652,0.6052342266544262,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,4,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.9544639579810086,5.44426438452636,0.9999999999998163,5,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,5,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.6220892306967258,5.44426438452636,0.9999999999998163,25,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,6,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.6656090530860559,3.295055144471652,0.6052342266544262,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,7,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7114666444389273,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,8,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6233887021054421,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
