dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,ea_ratio,pool_size,acq
hartmann6,ea0_p20_ucb_01,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,0.0,20.0,ucb_01
hartmann6,ea0_p20_ucb_10,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.8745874901460116,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9545565912849193,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8515818816727072,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.6964591806456917,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.758385086694943,1.7914431443280272,0.9999999999994418,17,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.8663175473197015,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.9358148141634366,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.7451695702965121,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8484475656747389,1.5429708877629285,0.8613005066040417,-1,0,0.0,0,multimodal,0.0,20.0,ucb_10
hartmann6,ea0_p20_ucb_10,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.7816353797391595,1.5429708877629285,0.8613005066040417,-1,0,0.0,0,multimodal,0.0,20.0,ucb_10
