dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,batch_size,refit
hartmann6,batch4_joint,17,1.7914431443280272,0.0001950575971415,0.8613005066045224,0.9417398692395532,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,4.0,False
hartmann6,batch4_joint,18,1.7914431443280272,0.0001950575971415,0.12304381533818813,0.6843197852651107,1.7914431443280272,0.9999999999994418,33,0,0.0,0,multimodal,4.0,False
hartmann6,batch4_joint,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,4.0,False
hartmann6,batch4_refit,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.8687235771352855,1.7914431443280272,0.9999999999994418,25,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9545565912849193,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.9481169129457414,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.8393811391008131,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.8232759574582738,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.882944978663364,1.7914431443280272,0.9999999999994418,9,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.790577199393719,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.9089120258484762,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8119091057337084,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.8842841815551847,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,11,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.8867353841733875,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,12,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.6688514235897606,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,13,1.7914431443280272,0.0001950575971415,0.30705316798911725,0.6320897732323039,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,14,1.7914431443280272,0.0001950575971415,0.5277412980450483,0.6490861648037014,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,15,1.7914431443280272,0.0001950575971415,0.6605046370631522,0.6998424416512605,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,16,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.7590827905502148,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,17,1.7914431443280272,0.0001950575971415,0.8613005066045224,0.9417398692395532,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,18,1.7914431443280272,0.0001950575971415,0.12304381533818813,0.5479118933771264,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,4.0,True
hartmann6,batch4_refit,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,4.0,True
hartmann6,batch8_joint,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.8371292052688404,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9434594235210247,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8394665666367669,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.7406702422914428,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.745462465139651,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.6281894779006242,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.9358148141634366,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.8545868526939888,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8988074888803683,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.8821390339259952,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,11,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.8867353841733875,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,12,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.7340267084699506,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,13,1.7914431443280272,0.0001950575971415,0.30705316798911725,0.7089306380674373,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,14,1.7914431443280272,0.0001950575971415,0.5277412980450483,0.7897934676894853,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,15,1.7914431443280272,0.0001950575971415,0.6605046370631522,0.7240730717231412,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,16,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.7715125117698604,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,17,1.7914431443280272,0.0001950575971415,0.8613005066045224,0.8973511981839748,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,18,1.7914431443280272,0.0001950575971415,0.12304381533818813,0.7919166596068038,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_joint,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,8.0,False
hartmann6,batch8_refit,0,1.7914431443280272,0.0001950575971415,0.6051133527708046,0.8672237483514471,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,1,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.9434594235210247,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,2,1.7914431443280272,0.0001950575971415,0.4753460434620039,0.9475288911375805,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,3,1.7914431443280272,0.0001950575971415,0.48122562128817803,0.8394665666367669,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,4,1.7914431443280272,0.0001950575971415,0.10777015419263257,0.691766609782207,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,8.0,True
