domain_seed,condition,campaign,auc,batches_to_90,final_hv
42,phase_decaying_ucb,3,-1.549622135792354,0,16.23594135012627
42,phase_decaying_ucb,4,-0.38176627716373385,0,15.755225845650747
42,phase_decaying_ucb,5,-0.9859030600108049,0,16.118704288674937
42,phase_decaying_ucb,6,-0.5578668409058881,0,15.930140482675094
42,phase_decaying_ucb,7,-0.03435942027296746,0,15.448911605139322
42,phase_decaying_ucb,8,0.15250368386249344,1,15.36569866635433
42,phase_decaying_ucb,9,-1.0301283876961391,0,16.074947875646963
42,phase_decaying_ucb,10,-0.6969072111920552,0,15.925772444845723
42,phase_decaying_ucb,11,-1.324459685618773,0,16.108200129014417
42,phase_decaying_ucb,12,-0.8598370758339576,0,16.086122107158182
42,phase_decaying_ucb,13,0.3148748915296826,2,15.225533201301486
42,phase_decaying_ucb,14,-0.6639750355509938,0,15.917392522083835
42,phase_decaying_ucb,15,0.318220686141803,2,15.404091808401295
42,phase_decaying_ucb,16,-1.0907387060441787,0,16.117949135376207
42,phase_decaying_ucb,17,0.17592340221318556,0,15.22186315771897
42,phase_decaying_ucb,18,-1.1698538196812778,0,16.127119077909708
42,phase_decaying_ucb,19,-0.023343647178695148,1,15.492131904217128
43,gen6_child0_beta1,0,-0.6513330817773608,0,16.4079362462466
43,gen6_child0_beta1,1,-0.7684240651593515,1,16.52062899713212
43,gen6_child0_beta1,2,0.30276643444218576,1,15.600651025080767
43,gen6_child0_beta1,3,-0.8909658408415556,1,16.509946541681963
43,gen6_child0_beta1,4,0.6409590036025605,6,15.037127647184915
43,gen6_child0_beta1,5,-0.5530578944009436,0,16.220498249374558
43,gen6_child0_beta1,6,0.05548575482118718,0,16.11980757723605
43,gen6_child0_beta1,7,-0.2920623393549061,0,16.143632507390457
43,gen6_child0_beta1,8,-0.8898251061346771,0,16.430744762436426
43,gen6_child0_beta1,9,-0.9506658274218772,0,16.494633623528504
43,gen6_child0_beta1,10,0.7937946609843862,6,14.61674818615821
43,gen6_child0_beta1,11,-2.1753534292855297,0,16.70810036574198
43,gen6_child0_beta1,12,-0.2971023471819025,1,16.215041836290368
43,gen6_child0_beta1,13,1.1969546867103305,6,14.924454806644587
43,gen6_child0_beta1,14,0.19799757283875616,0,15.647354394485506
43,gen6_child0_beta1,15,-0.1876651038323262,0,15.979963402398944
43,gen6_child0_beta1,16,-1.3214012216943805,0,16.5702806556998
43,gen6_child0_beta1,17,-0.17889833591011167,0,16.05509731900345
43,gen6_child0_beta1,18,-0.4913535323222642,0,16.36461260405625
43,gen6_child0_beta1,19,-0.13759763390607255,0,16.012805543805147
43,gen6_child0_beta2,0,-0.672956122131961,0,16.43423043115037
43,gen6_child0_beta2,1,-0.9818726461178497,1,16.5762384627503
43,gen6_child0_beta2,2,0.30338623935611536,1,15.64936690177978
43,gen6_child0_beta2,3,-0.8097932191448253,1,16.490252736972064
43,gen6_child0_beta2,4,-0.11255841013190014,2,16.18733660076231
43,gen6_child0_beta2,5,-0.5549299136915946,0,16.236746987202167
43,gen6_child0_beta2,6,0.1421864297023986,0,15.770139439804534
43,gen6_child0_beta2,7,-0.3014478928786794,0,16.16702100729764
43,gen6_child0_beta2,8,-0.8169227043499153,0,16.418345852385805
43,gen6_child0_beta2,9,-1.3093401681512857,0,16.6300022917296
43,gen6_child0_beta2,10,0.4861063616121338,5,16.043462865993824
43,gen6_child0_beta2,11,-1.818075972117877,0,16.678230842028142
43,gen6_child0_beta2,12,-0.3036857762067294,1,16.219149140163974
43,gen6_child0_beta2,13,1.336049846912433,6,13.746041948380293
43,gen6_child0_beta2,14,0.016208942240250917,0,15.921072400480767
43,gen6_child0_beta2,15,-0.18072740561469644,0,15.970997588975276
43,gen6_child0_beta2,16,-1.5285252000584053,0,16.636390723880194
43,gen6_child0_beta2,17,-0.18053923962903823,0,16.063049012981057
43,gen6_child0_beta2,18,-0.5051182613556363,0,16.294427585316292
43,gen6_child0_beta2,19,-0.13795322421573192,0,16.014641606384505
43,gen6_child0_beta3,0,-0.8386254646152295,0,16.49701104357979
43,gen6_child0_beta3,1,-0.8687560464275893,1,16.552950907180144
43,gen6_child0_beta3,2,0.26338360759794777,1,15.694918494561934
43,gen6_child0_beta3,3,-0.9542022485379624,1,16.55491608736232
43,gen6_child0_beta3,4,0.04494614325732086,1,16.000382511371427
43,gen6_child0_beta3,5,-0.5261065506939143,0,16.211210917045808
43,gen6_child0_beta3,6,0.1370007271478431,0,15.78750856196827
43,gen6_child0_beta3,7,-0.29493293462063525,0,16.13923160658601
43,gen6_child0_beta3,8,-0.7643320113687346,0,16.429487795780492
43,gen6_child0_beta3,9,-1.1297270345407946,0,16.60039386431715
43,gen6_child0_beta3,10,0.7138228247843069,6,14.831922025338802
43,gen6_child0_beta3,11,-2.5705426803923066,0,16.747302992887676
43,gen6_child0_beta3,12,-0.2690685201641173,1,16.164462629774043
43,gen6_child0_beta3,13,0.7580490082781252,2,15.407399850298365
43,gen6_child0_beta3,14,-0.772872962227287,0,16.51152971667563
43,gen6_child0_beta3,15,-0.20670426134814954,0,16.023412809776612
43,gen6_child0_beta3,16,-1.5022223324952058,0,16.630803450041938
43,gen6_child0_beta3,17,-0.17728801865054675,0,16.058739325228263
43,gen6_child0_beta3,18,-0.39605307343367685,0,16.21571787560679
43,gen6_child0_beta3,19,-0.1710052146531448,0,16.0444439427082
43,hint_fixed_ucb,0,-1.0530840613236476,0,16.536664602598368
43,hint_fixed_ucb,1,-1.0048511801358717,1,16.574652271870693
43,hint_fixed_ucb,2,-0.3699056230723527,1,16.394324319052185
43,hint_fixed_ucb,3,-1.2737009887940265,1,16.66194585285465
43,hint_fixed_ucb,4,-0.06087705387568124,1,16.079953826121688
43,hint_fixed_ucb,5,-0.6519335898617328,0,16.342405729290906
43,hint_fixed_ucb,6,-0.2796413103416736,0,16.430227866788233
43,hint_fixed_ucb,7,-0.27780851830447734,0,16.167040499194187
43,hint_fixed_ucb,8,-0.6793207858214385,0,16.38845399563211
43,hint_fixed_ucb,9,-1.1446733432703131,0,16.58687965737039
43,hint_fixed_ucb,10,0.4825971020032426,5,15.915106332485333
43,hint_fixed_ucb,11,-1.5899699652773285,0,16.68749600607423
43,hint_fixed_ucb,12,-0.3161702548845361,1,16.234778923415696
