dataset,condition,seed,global_best,global_min,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
pareto_20201223,approach_c,11,4.667169677008169,-1.8162555193823233,0.7507502435589913,3.8324096192891406,0.8211421234946482,-1,0,0.0,0
pareto_20201223,approach_c,12,4.667169677008169,-1.8162555193823233,0.8340125350533666,3.8056942383535586,0.8154180159981533,-1,0,0.0,0
pareto_20201223,approach_c,13,4.667169677008169,-1.8162555193823233,0.7652551851247879,3.8324096192891406,0.8211421234946482,-1,0,0.0,0
pareto_20201223,approach_c,14,4.667169677008169,-1.8162555193823233,0.8373021960068443,4.667169677008169,0.9999999999997857,40,0,0.0,0
pareto_20201223,approach_c,15,4.667169677008169,-1.8162555193823233,0.9645980134651235,4.667169677008169,0.9999999999997857,20,0,0.0,0
pareto_20201223,approach_c,16,4.667169677008169,-1.8162555193823233,0.7732685223724607,4.667169677008169,0.9999999999997857,51,0,0.0,0
pareto_20201223,approach_c,17,4.667169677008169,-1.8162555193823233,0.8136421735978127,4.0186641917660895,0.8610495160615936,-1,0,0.0,0
pareto_20201223,approach_c,18,4.667169677008169,-1.8162555193823233,0.816862427698816,4.667169677008169,0.9999999999997857,55,0,0.0,0
pareto_20201223,approach_c,19,4.667169677008169,-1.8162555193823233,1.0,4.667169677008169,0.9999999999997857,0,0,0.0,0
pareto_20210104,approach_c,0,4.502143575747799,-1.6153753682691243,0.6481211773887399,4.502143575747799,0.9999999999997778,45,0,0.0,0
pareto_20210104,approach_c,1,4.502143575747799,-1.6153753682691243,0.6800953063950206,2.8320064423574145,0.6290351239823341,-1,0,0.0,0
pareto_20210104,approach_c,2,4.502143575747799,-1.6153753682691243,0.7604079720666796,4.502143575747799,0.9999999999997778,28,0,0.0,0
pareto_20210104,approach_c,3,4.502143575747799,-1.6153753682691243,0.665520573339431,4.502143575747799,0.9999999999997778,49,0,0.0,0
pareto_20210104,approach_c,4,4.502143575747799,-1.6153753682691243,0.7013609970288407,2.8320064423574145,0.6290351239823341,-1,0,0.0,0
pareto_20210104,approach_c,5,4.502143575747799,-1.6153753682691243,0.8832500559469025,4.502143575747799,0.9999999999997778,12,0,0.0,0
pareto_20210104,approach_c,6,4.502143575747799,-1.6153753682691243,1.0,4.502143575747799,0.9999999999997778,0,0,0.0,0
pareto_20210104,approach_c,7,4.502143575747799,-1.6153753682691243,0.8771327011184552,4.502143575747799,0.9999999999997778,18,0,0.0,0
pareto_20210104,approach_c,8,4.502143575747799,-1.6153753682691243,0.7603420278824758,3.431418879147996,0.7621744667654853,-1,0,0.0,0
pareto_20210104,approach_c,9,4.502143575747799,-1.6153753682691243,0.9658701947551265,4.502143575747799,0.9999999999997778,5,0,0.0,0
pareto_20210104,approach_c,10,4.502143575747799,-1.6153753682691243,0.6557963741030773,2.8320064423574145,0.6290351239823341,-1,0,0.0,0
pareto_20210104,approach_c,11,4.502143575747799,-1.6153753682691243,0.7963688930579903,4.502143575747799,0.9999999999997778,28,0,0.0,0
pareto_20210104,approach_c,12,4.502143575747799,-1.6153753682691243,1.0,4.502143575747799,0.9999999999997778,0,0,0.0,0
pareto_20210104,approach_c,13,4.502143575747799,-1.6153753682691243,0.9140741675029725,4.502143575747799,0.9999999999997778,10,0,0.0,0
pareto_20210104,approach_c,14,4.502143575747799,-1.6153753682691243,0.8055349536897524,4.502143575747799,0.9999999999997778,23,0,0.0,0
pareto_20210104,approach_c,15,4.502143575747799,-1.6153753682691243,0.6563931803398377,4.502143575747799,0.9999999999997778,51,0,0.0,0
pareto_20210104,approach_c,16,4.502143575747799,-1.6153753682691243,0.9226667507526753,4.502143575747799,0.9999999999997778,9,0,0.0,0
pareto_20210104,approach_c,17,4.502143575747799,-1.6153753682691243,0.8847151495441365,4.502143575747799,0.9999999999997778,13,0,0.0,0
pareto_20210104,approach_c,18,4.502143575747799,-1.6153753682691243,0.6495707124934632,2.8320064423574145,0.6290351239823341,-1,0,0.0,0
pareto_20210104,approach_c,19,4.502143575747799,-1.6153753682691243,0.6778247140468977,4.502143575747799,0.9999999999997778,49,0,0.0,0
pareto_20210112,approach_c,0,6.114679357715656,-1.6910003165941683,0.7950490352319475,6.114679357715656,0.9999999999998365,32,0,0.0,0
pareto_20210112,approach_c,1,6.114679357715656,-1.6910003165941683,0.7624535087590157,5.007901563748517,0.8189965934074044,-1,0,0.0,0
