sample,concentration_realized,DMSO_content_realized,combustion_temp_realized,air_flow_rate_realized,spray_flow_rate_realized,spray_height_realized,num_passes_realized,concentration_requested,DMSO_content_requested,combustion_temp_requested,air_flow_rate_requested,spray_flow_rate_requested,spray_height_requested,num_passes_requested,Pd_ACN_robot_realized,acac_ACN_robot_realized,ACN_robot_realized,DMSO_robot_realized,Pd_ACN_robot_requested,acac_ACN_robot_requested,ACN_robot_requested,DMSO_robot_requested,conductance_mean,conductance_std,conductive_fraction,thickness_avg,thickness_std,sheet_conductance_avg,sheet_conductance_std,sheet_resistance_avg,sheet_resistance_std,conductivity_avg,conductivity_std,resistivity_avg,resistivity_std,campaign_ID,exp_num,running_best_conductivity,beta,nozzle_speed,SAMPLE_START,MIX_CHEMICALS_START,SPRAY_COAT_START,XRF_START,MICROSCOPE_START,CONDUCTIVITY_START,FLIR_CAMERA_START,MIX_CHEMICALS_FINISH,SPRAY_COAT_FINISH,XRF_FINISH,MICROSCOPE_FINISH,CONDUCTIVITY_FINISH,FLIR_CAMERA_FINISH,SAMPLE_FINISH
90,0.0196979104464909,0.3056067747375651,228.47776682466449,88.08644374566126,0.002,25.0,1.0,0.02,0.3,233.7566902829045,88.08644374566126,0.002,25.0,0.51,0.2123774509803924,0.0395833333333325,0.0145038167938932,0.1172727272727272,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,0.018091511077966,0.0026413768900927,1.0,16.043569500385615,0.6094535745958386,0.0039916314043553,0.0006515698328932,257.462300945144,53.19502526901507,248185.50587754045,35971.72206498368,4.111899159462768e-06,7.150032329839896e-07,2022-07-13_09-53-56,46,4217335.97518334,SF,2.04,"2022-07-13 10:12:15,458","2022-07-13 10:38:40,823","2022-07-13 11:07:47,716","2022-07-13 11:18:05,841","2022-07-13 11:28:08,598","2022-07-13 11:34:04,061","2022-07-13 11:34:45,199","2022-07-13 10:47:21,847","2022-07-13 11:17:39,990","2022-07-13 11:26:31,500","2022-07-13 11:34:01,992","2022-07-13 11:34:44,138","2022-07-13 11:35:36,485","2022-07-13 11:38:22,582"
91,0.0203545451825174,0.3150560665000549,257.9065941669562,99.32446098751612,0.0025244539146381,10.0,6.0,0.02,0.3,261.9207919709484,99.32446098751612,0.0025244539146381,10.0,6.156947015234833,0.2137254901960777,0.0401960784313724,0.0024173027989822,0.1179090909090906,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,1.1760724272798757,0.0327997737372007,1.0,68.4067568182792,0.5047229003336683,0.259483445815881,0.0080909858691663,3.856810438231808,0.1202837684786447,3792710.4411681257,90316.2406811956,2.6378336585424885e-07,6.282945964349873e-09,2022-07-13_09-53-56,47,4217335.97518334,2.00E-01,31.085857989657875,"2022-07-13 10:55:38,671","2022-07-13 10:55:39,729","2022-07-13 11:22:31,683","2022-07-13 11:38:51,702","2022-07-13 11:49:04,366","2022-07-13 11:54:52,679","2022-07-13 11:55:33,430","2022-07-13 11:06:26,084","2022-07-13 11:38:25,683","2022-07-13 11:47:26,586","2022-07-13 11:54:50,605","2022-07-13 11:55:32,377","2022-07-13 11:56:24,581","2022-07-13 12:01:28,942"
92,0.019713259748964,0.3071763482252335,259.3576753958097,99.32446098751612,0.0025244539146381,10.0,6.0,0.02,0.3,261.9207919709484,99.32446098751612,0.0025244539146381,10.0,6.156947015234833,0.2134803921568632,0.0416666666666664,0.0138676844783713,0.119272727272727,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,1.2123686843807433,0.0233734924012224,1.0,69.0395948935213,0.5055762779596257,0.2674916922846259,0.0057657286982095,3.739804064778428,0.0794705704925668,3874484.767746261,79580.04788745563,2.581845223620635e-07,5.215604710401307e-09,2022-07-13_09-53-56,47,4217335.97518334,2.00E-01,31.085857989657875,"2022-07-13 11:11:07,733","2022-07-13 11:11:08,762","2022-07-13 11:40:15,411","2022-07-13 11:56:18,631","2022-07-13 12:06:27,388","2022-07-13 12:12:16,632","2022-07-13 12:12:57,319","2022-07-13 11:19:50,273","2022-07-13 11:55:53,110","2022-07-13 12:04:49,504","2022-07-13 12:12:14,518","2022-07-13 12:12:56,191","2022-07-13 12:13:48,560","2022-07-13 12:18:39,807"
93,0.0199181164536952,0.3004162013428211,263.4182004188257,100.0,0.002,10.0,1.0,0.02,0.3,268.90948522763966,100.0,0.002,10.0,0.7683401768386369,0.2139705882352939,0.039583333333333,0.0136132315521627,0.1147272727272726,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,1.109627336774167,0.0049629958235751,1.0,71.61029548554575,1.614189671326107,0.2448232933949567,0.0012242623805582,4.084660729297728,0.0205146901069349,3420421.629608441,88949.2666094811,2.925236705413625e-07,7.790940403912297e-09,2022-07-13_09-53-56,48,4217335.97518334,2.00E+01,3.0733607073545475,"2022-07-13 11:26:45,614","2022-07-13 11:26:46,659","2022-07-13 11:58:29,273","2022-07-13 12:12:32,123","2022-07-13 12:22:42,124","2022-07-13 12:28:28,259","2022-07-13 12:29:09,088","2022-07-13 11:35:29,509","2022-07-13 12:12:06,365","2022-07-13 12:21:01,539","2022-07-13 12:28:26,154","2022-07-13 12:29:07,982","2022-07-13 12:29:59,899","2022-07-13 12:33:50,192"
94,0.0182646935200063,0.3567953424279658,263.25205924348603,100.0,0.002,10.0,1.0,0.02,0.3,268.90948522763966,100.0,0.002,10.0,0.7683401768386369,0.1547794117647054,0.0389705882352941,0.0109414758269724,0.1135454545454547,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,0.694165686518654,0.0557437905348593,1.0,57.13273671158625,0.3466672122468449,0.1531576628504206,0.0137507723414499,6.572507786579758,0.603986903060158,2680511.304297393,236472.13689051173,3.754682248442032e-07,3.414069607664667e-08,2022-07-13_09-53-56,48,4217335.97518334,2.00E+01,3.0733607073545475,"2022-07-13 11:41:42,190","2022-07-13 11:41:43,237","2022-07-13 12:13:55,791","2022-07-13 12:25:58,204","2022-07-13 12:36:18,526","2022-07-13 12:42:12,539","2022-07-13 12:42:53,269","2022-07-13 11:52:24,531","2022-07-13 12:25:32,530","2022-07-13 12:34:37,962","2022-07-13 12:42:10,428","2022-07-13 12:42:52,191","2022-07-13 12:43:44,487","2022-07-13 12:47:21,837"
95,0.0198203372934439,0.0713788421113752,288.52167216134444,100.0,0.008,10.0,10.0,0.02,0.0693691293648786,300.0,100.0,0.008,10.0,10.49,0.2137254901960782,0.0378676470588234,0.1020356234096692,0.0271818181818178,0.2144972303961344,0.0388361029371988,0.1003063975080128,0.0263602691586538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-13_09-53-56,49,4217335.97518334,4.00E+02,167.84000000000003,"2022-07-13 12:02:35,426","2022-07-13 12:02:36,463","2022-07-13 12:29:03,835","2022-07-13 12:50:13,398","2022-07-13 13:02:00,679","2022-07-13 13:07:48,596","2022-07-13 13:08:29,550","2022-07-13 12:11:21,461","2022-07-13 12:49:46,836","2022-07-13 12:58:43,449","2022-07-13 13:07:46,505","2022-07-13 13:08:28,497","2022-07-13 13:09:20,639","2022-07-13 13:12:05,935"
96,0.019705533076969,0.0797470698742569,289.91049761688254,100.0,0.008,10.0,10.0,0.02,0.0693691293648786,300.0,100.0,0.008,10.0,10.49,0.2127450980392156,0.038848039215686,0.1008905852417301,0.0305454545454544,0.2144972303961344,0.0388361029371988,0.1003063975080128,0.0263602691586538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-13_09-53-56,49,4217335.97518334,4.00E+02,167.84000000000003,"2022-07-13 12:19:17,934","2022-07-13 12:19:18,992","2022-07-13 12:58:30,174","2022-07-13 13:18:51,918","2022-07-13 13:28:57,632","2022-07-13 13:34:46,896","2022-07-13 13:35:27,748","2022-07-13 12:27:39,499","2022-07-13 13:18:26,302","2022-07-13 13:27:19,768","2022-07-13 13:34:44,838","2022-07-13 13:35:26,690","2022-07-13 13:36:19,123","2022-07-13 13:39:09,855"
97,0.019690069844388,0.3049567722386442,235.7317196722784,65.0,0.0056400306972722,10.0,10.0,0.02,0.3,236.6198758584023,65.0,0.0056400306972722,10.0,10.49,0.2089460784313727,0.0412990196078437,0.0147582697201018,0.1162727272727271,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,0.7116303974847505,0.0538869460747542,1.0,50.47144655890251,1.850199683905332,0.1570109998359179,0.013292729477852,6.406097004132408,0.5490766807138111,3106710.21151658,155287.7705509046,3.225411102949751e-07,1.6447982633218502e-08,2022-07-13_09-53-56,50,4217335.97518334,SF,118.32784402877077,"2022-07-13 12:34:56,211","2022-07-13 12:34:57,252","2022-07-13 13:29:03,500","2022-07-13 13:44:36,076","2022-07-13 13:54:39,128","2022-07-13 14:00:33,228","2022-07-13 14:01:14,069","2022-07-13 12:45:47,085","2022-07-13 13:44:09,680","2022-07-13 13:53:06,034","2022-07-13 14:00:31,168","2022-07-13 14:01:13,001","2022-07-13 14:02:05,483","2022-07-13 14:04:55,831"
98,0.0199687984014507,0.2927727853888069,237.8504034835047,65.0,0.0056400306972722,10.0,10.0,0.02,0.3,236.6198758584023,65.0,0.0056400306972722,10.0,10.49,0.2154411764705884,0.0410539215686275,0.0160305343511449,0.1128181818181821,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,0.7494267249821406,0.0896171214513634,1.0,51.05807896456423,3.016609540229286,0.1653502152368708,0.0221065812559543,6.133172650448026,0.8004401440050367,3227608.361525313,246813.1330034441,3.112774543147181e-07,2.37247669957408e-08,2022-07-13_09-53-56,50,4217335.97518334,SF,118.32784402877077,"2022-07-13 12:48:00,298","2022-07-13 12:48:01,339","2022-07-13 13:54:45,858","2022-07-13 14:10:58,493","2022-07-13 14:22:21,280","2022-07-13 14:28:09,544","2022-07-13 14:28:50,334","2022-07-13 12:57:05,001","2022-07-13 14:10:32,307","2022-07-13 14:19:24,108","2022-07-13 14:28:07,474","2022-07-13 14:28:49,269","2022-07-13 14:29:41,500","2022-07-13 14:32:25,388"
99,0.019206394792685,0.3043994421987686,256.7963060738324,97.7159315262786,0.0030333745283926,10.0,6.0,0.0191934748900104,0.3,260.20570483633327,97.7159315262786,0.0030333745283926,10.0,5.806425030610026,0.2014705882352942,0.0367647058823532,0.0206106870229007,0.1132727272727273,0.2058473602792502,0.0372699883275494,0.0228826513932003,0.1139999999999999,1.2289442068827292,0.0292367787877535,1.0,65.35636627138858,0.6894266971512085,0.2711488426396953,0.0072120730443747,3.69008873587873,0.097644724474673,4148640.4160559936,94187.47960439535,2.411414595165204e-07,5.431309664032998e-09,2022-07-13_09-53-56,51,4217335.97518334,2.00E-01,35.22612357774736,"2022-07-13 13:13:34,794","2022-07-13 13:13:35,836","2022-07-13 14:18:50,864","2022-07-13 14:32:24,834","2022-07-13 14:42:42,900","2022-07-13 14:48:35,178","2022-07-13 14:49:17,298","2022-07-13 13:26:36,918","2022-07-13 14:31:58,190","2022-07-13 14:41:05,328","2022-07-13 14:48:33,095","2022-07-13 14:49:16,160","2022-07-13 14:50:08,615","2022-07-13 14:54:43,161"
100,0.0176353695519282,0.3455010187239594,256.18624799780605,97.7159315262786,0.0030333745283926,10.0,6.0,0.0191934748900104,0.3,260.20570483633327,97.7159315262786,0.0030333745283926,10.0,5.806425030610026,0.1587009803921565,0.0354166666666668,0.022010178117049,0.1140909090909096,0.2058473602792502,0.0372699883275494,0.0228826513932003,0.1139999999999999,0.7809976094047796,0.014401970185483,1.0,55.15209721448567,0.6311906161901545,0.1723158762688097,0.0035526506430358,5.805280480443583,0.1203534060829042,3124451.965362652,59404.16506968279,3.201466859350537e-07,5.9539847925443805e-09,2022-07-13_09-53-56,51,4217335.97518334,2.00E-01,35.22612357774736,"2022-07-13 13:39:50,928","2022-07-13 13:39:51,989","2022-07-13 14:33:48,094","2022-07-13 14:49:21,259","2022-07-13 14:59:45,818","2022-07-13 15:05:37,859","2022-07-13 15:06:18,977","2022-07-13 13:52:30,994","2022-07-13 14:48:55,382","2022-07-13 14:58:07,548","2022-07-13 15:05:35,796","2022-07-13 15:06:17,921","2022-07-13 15:07:10,188","2022-07-13 15:09:53,342"
101,0.0197938575649108,0.3090231538288323,263.9485142062015,65.0,0.008,10.0,10.0,0.02,0.3,267.7839535786091,65.0,0.008,10.0,10.49,0.2090686274509802,0.0386029411764704,0.0117048346055978,0.1160000000000001,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,0.4521548627329094,0.0443018209626944,1.0,42.724486441997314,1.847547180095504,0.0997614595010152,0.0109282890259989,10.1211938788177,1.1178072470794709,2335397.0639822213,239089.74451094752,4.3187311493873314e-07,4.511234521603235e-08,2022-07-13_09-53-56,52,4217335.97518334,2.00E+01,167.84000000000003,"2022-07-13 14:06:33,786","2022-07-13 14:06:34,848","2022-07-13 14:51:43,705","2022-07-13 15:10:19,397","2022-07-13 15:20:25,744","2022-07-13 15:26:10,846","2022-07-13 15:26:51,345","2022-07-13 14:17:28,401","2022-07-13 15:09:53,370","2022-07-13 15:18:47,621","2022-07-13 15:26:08,767","2022-07-13 15:26:50,286","2022-07-13 15:27:42,443","2022-07-13 15:30:26,047"
102,0.0197266521599197,0.3066787467642634,263.49699877444584,65.0,0.008,10.0,10.0,0.02,0.3,267.7839535786091,65.0,0.008,10.0,10.49,0.2057598039215691,0.0374999999999996,0.0132315521628501,0.113454545454545,0.2144972303961344,0.0388361029371988,0.0126666666666667,0.1139999999999999,0.3674357850341266,0.0249083434966259,1.0,36.56223384787329,1.5863319789031902,0.0810694149485652,0.0061443428503583,12.391702612658747,0.9365574678963416,2218090.563264085,149854.04064289702,4.525653505845846e-07,3.1999823214180124e-08,2022-07-13_09-53-56,52,4217335.97518334,2.00E+01,167.84000000000003,"2022-07-13 14:35:15,581","2022-07-13 14:35:16,627","2022-07-13 15:11:40,549","2022-07-13 15:29:16,748","2022-07-13 15:39:23,442","2022-07-13 15:45:13,757","2022-07-13 15:45:54,527","2022-07-13 14:44:22,295","2022-07-13 15:28:00,982","2022-07-13 15:37:46,323","2022-07-13 15:45:11,746","2022-07-13 15:45:53,476","2022-07-13 15:46:45,486","2022-07-13 15:49:32,696"
103,0.0192218567459265,0.1696389197659591,233.42782359604075,65.0,0.008,10.0,1.0,0.02,0.1572070561248267,220.0002853969364,65.0,0.008,10.0,0.51,0.1839460784313727,0.0378676470588234,0.0656488549618327,0.0587272727272727,0.2144972303961344,0.0388361029371988,0.0669279853392325,0.0597386813274341,0.1524278823075444,0.0044332678145175,1.0,52.93177601086925,5.221696653379318,0.0336310172929228,0.0010935900817147,29.759698776884324,0.9707151866784332,639674.7667191916,58202.68063051134,1.5738237174353248e-06,1.4500692279805348e-07,2022-07-13_09-53-56,53,4217335.97518334,4.00E+02,8.16,"2022-07-13 14:55:47,627","2022-07-13 14:55:48,663","2022-07-13 15:31:40,143","2022-07-13 15:40:46,401","2022-07-13 15:51:05,811","2022-07-13 15:57:06,714","2022-07-13 15:57:48,217","2022-07-13 15:07:12,306","2022-07-13 15:40:20,523","2022-07-13 15:49:25,086","2022-07-13 15:57:04,652","2022-07-13 15:57:47,122","2022-07-13 15:58:39,382","2022-07-13 16:03:10,708"
